Cluster1,Cluster2,Cluster3
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,TRUE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,